Name, Price, Change, Percentage Change, Transactions Number, Volume, Opening, Max, Min, Time
CCC,73.9200,-2.0800,-2.74%,8047,45294212,77.0000,79.3200,73.8000,02.02 16:42
CCENERGY,0.9400,-0.0200,-2.08%,23,11709,0.9600,0.9600,0.9000,02.02 15:51
CDPROJEKT,183.1400,2.2000,1.22%,5170,52649964,182.0000,186.6000,180.9400,02.02 16:41
CDRL,27.0000,0.0000,0.00%,5,1566,27.1000,27.1000,27.0000,02.02 15:05
CELTIC,7.0500,0.0500,0.71%,19,25463,6.9500,7.1500,6.9500,02.02 16:30
CEZ,150.4000,-1.7000,-1.12%,9,12039,150.0000,151.9000,150.0000,02.02 16:19
CFI,0.3090,0.0190,6.55%,25,32275,0.2700,0.3100,0.2700,02.02 16:13
CIECH,43.1000,0.3000,0.70%,177,753118,42.6500,43.4000,42.6500,02.02 16:24
CIGAMES,1.7380,-0.0120,-0.69%,201,583284,1.7590,1.7650,1.7260,02.02 16:37
CLNPHARMA,29.2500,0.2500,0.86%,132,343458,29.0000,29.5000,28.9000,02.02 16:41
CNT,21.5000,0.0000,0.00%,4,749,21.5000,21.5000,21.4000,02.02 15:45
COALENERG,2.2000,0.0600,2.80%,555,1394583,2.1200,2.3600,2.1200,02.02 16:39
COGNOR,4.4700,0.0300,0.68%,631,2499721,4.4400,4.4900,4.3300,02.02 16:42
COMARCH,194.0000,7.0000,3.74%,101,887522,190.0000,196.0000,187.0000,02.02 16:34
COMP,48.3000,-0.1000,-0.21%,66,174002,48.0000,48.4000,47.7000,02.02 16:33
COMPERIA,5.7500,0.1000,1.77%,5,11280,5.6000,5.7500,5.5500,02.02 16:10
COMPREMUM,3.7300,-0.0600,-1.58%,46,103160,3.8000,3.8100,3.7000,02.02 16:42
CORMAY,1.1820,0.0090,0.77%,54,52402,1.1550,1.1840,1.1500,02.02 16:24
CPGROUP,8.5000,-0.4200,-4.71%,7,3252,8.3600,8.5000,8.3200,02.02 15:08
CREEPYJAR,794.0000,4.0000,0.51%,117,714118,792.0000,809.0000,790.0000,02.02 16:10
CYFRPLSAT,31.0000,0.1400,0.45%,1621,7704115,30.6600,31.2400,30.6200,02.02 16:42
CZTOREBKA,0.5000,0.0000,0.00%,5,13,0.5000,0.5000,0.5000,02.02 11:30
DADELO,17.8000,0.8320,4.90%,49,60128,17.5000,17.8800,17.4000,02.02 16:22
DATAWALK,183.2000,4.6000,2.58%,158,500991,186.2000,187.8000,179.0000,02.02 16:40
DEBICA,72.8000,1.0000,1.39%,24,25324,72.8000,72.8000,71.6000,02.02 16:23
DECORA,35.1000,0.0000,0.00%,13,43545,35.3000,35.3000,34.8000,02.02 15:53
DEKPOL,31.1000,0.3000,0.97%,7,19239,30.8000,31.1000,30.7000,01.02 14:14
DELKO,15.5000,0.1800,1.17%,19,28034,15.2600,15.5600,15.2600,02.02 16:31
DEVELIA,3.4300,0.0400,1.18%,71,416758,3.3900,3.4450,3.3900,02.02 16:38
DGA,9.2000,-0.3500,-3.66%,13,11751,9.5000,9.5000,8.9500,02.02 15:07
DIGITREE,8.1500,0.3000,3.82%,2,11857,7.8500,8.1500,7.8500,01.02 11:58
DINOPL,323.2000,10.7000,3.42%,3444,74667464,312.5000,325.7000,312.5000,02.02 16:41
DOMDEV,114.4000,1.0000,0.88%,62,214213,113.8000,114.8000,113.8000,02.02 16:35
DROP,0.1900,0.0070,3.83%,6,3901,0.2000,0.2000,0.1900,06.11 15:22
DROZAPOL,6.2000,-0.1000,-1.59%,16,35987,6.3000,6.3000,6.1000,02.02 16:25
ECHO,4.0550,0.0150,0.37%,16,29015,4.0400,4.0550,4.0200,02.02 15:43
EDINVEST,3.7000,0.0400,1.09%,4,2774,3.7200,3.7200,3.6600,02.02 12:01
EFEKT,6.9400,0.1000,1.46%,3,1388,6.9400,6.9400,6.9400,02.02 11:00
EKOEXPORT,2.2550,-0.0350,-1.53%,4,1423,2.2900,2.2900,2.2550,02.02 12:13
ELBUDOWA,0.4350,-0.0850,-16.35%,768,544789,0.5200,0.5200,0.3700,08.04 17:02
ELEKTROTI,5.6200,0.1000,1.81%,27,52862,5.5200,5.7200,5.5200,02.02 16:07
ELEMENTAL,2.4200,0.0000,0.00%,17,72954,2.4200,2.4200,2.4100,17.12 17:00
ELKOP,0.4260,-0.0120,-2.74%,43,26552,0.4200,0.4410,0.4200,02.02 16:41
ELZAB,3.7000,-0.0500,-1.33%,2,600,3.7900,3.7900,3.7000,02.02 15:30
EMCINSMED,12.1000,0.0000,0.00%,5,61,12.2000,12.2000,12.1000,02.02 16:16
ENAP,1.9000,0.0800,4.40%,2,4,1.7700,1.9000,1.7700,02.02 10:07
ENEA,7.7700,0.0900,1.17%,1158,3868501,7.7800,7.8300,7.6350,02.02 16:40
ENELMED,16.9000,0.2000,1.20%,3,3515,16.9000,16.9000,16.9000,02.02 15:23
ENERGA,7.3000,-0.0300,-0.41%,81,259708,7.3900,7.3900,7.2700,02.02 16:22
ENERGOINS,1.1750,0.0350,3.07%,4,623,1.1800,1.1800,1.1400,02.02 13:35
ENTER,31.0000,0.0500,0.16%,22,23619,31.3000,31.5500,30.8000,02.02 14:35
ERBUD,49.2000,-0.8000,-1.60%,23,171110,49.9000,52.0000,49.2000,02.02 16:38
ERG,50.0000,0.0000,0.00%,1,250,50.0000,50.0000,50.0000,02.02 09:00
ESOTIQ,55.8000,-1.0000,-1.76%,55,70911,56.8000,58.4000,55.4000,02.02 16:36
EUCO,3.5000,-0.1100,-3.05%,15,9062,3.6000,3.7000,3.5000,02.02 16:13
EUROCASH,11.3000,0.3900,3.57%,931,3503187,11.0800,11.3800,10.9100,02.02 16:42
EUROHOLD,17.0000,-0.1000,-0.58%,2,680,17.0000,17.0000,17.0000,02.02 09:31
EUROTEL,35.8000,0.2000,0.56%,52,383400,35.6000,36.4000,35.0000,02.02 16:32
FAMUR,2.7700,0.0200,0.73%,627,1672697,2.7800,2.8700,2.7300,02.02 16:38
FASING,13.2000,0.0500,0.38%,2,3946,13.1500,13.2000,13.1500,02.02 12:41
FASTFIN,0.7400,-0.0400,-5.13%,1,74,0.7400,0.7400,0.7400,02.02 11:00
FEERUM,8.9600,-0.0400,-0.44%,5,45,8.9600,8.9600,8.9600,02.02 14:13
FERRO,32.4000,0.4000,1.25%,31,67601,33.0000,33.0000,32.0000,02.02 16:32
FERRUM,4.0000,-0.1800,-4.31%,7,8207,3.9800,4.1500,3.9800,02.02 14:13
FMG,14.3000,0.1000,0.70%,1,72,14.3000,14.3000,14.3000,14.01 15:00
FON,0.2570,-0.0020,-0.77%,19,6721,0.2460,0.2580,0.2450,02.02 16:02
FORTE,44.8000,1.2500,2.87%,10,28262,43.7000,44.8000,42.5500,02.02 13:36
GAMEOPS,9.3600,-0.0400,-0.43%,26,16836,9.4000,9.4000,8.9100,02.02 16:22
GAMFACTOR,8.2900,0.0900,1.10%,17,7744,8.2000,8.3700,8.0000,02.02 13:50
GAMFACTOR-PDA,17.6120,-0.2880,-1.61%,31,20300,17.9000,18.2440,17.5140,15.01 17:00
GETIN,1.2460,0.0280,2.30%,42,100594,1.2160,1.2460,1.2120,02.02 16:37
GETINOBLE,0.3625,0.0215,6.30%,668,1557574,0.3425,0.3675,0.3310,02.02 16:40
GIGROUP,1.4420,-0.0060,-0.41%,24,125061,1.4460,1.4500,1.4380,02.02 16:18
GLCOSMED,3.8200,0.0900,2.41%,50,84610,3.7300,3.8600,3.7000,02.02 15:46
GOBARTO,4.7000,-0.0400,-0.84%,7,3474,4.5200,4.7600,4.5200,01.02 17:00
GPW,40.9600,0.3600,0.89%,307,759757,41.0600,41.0600,40.7200,02.02 16:42
GREENX,0.6620,-0.0030,-0.45%,87,133159,0.6620,0.6780,0.6470,02.02 16:32
GROCLIN,2.2200,0.0200,0.91%,49,56082,2.2100,2.2500,2.1700,02.02 15:40
GRODNO,18.0400,1.0400,6.12%,379,1631548,17.2600,18.2400,17.2400,02.02 16:41
GRUPAAZOTY,36.9800,0.5200,1.43%,706,2789648,36.3800,37.3200,36.0400,02.02 16:40
GRUPRACUJ,74.5100,1.5000,2.05%,84,1338265,73.5000,75.0000,73.5000,02.02 16:38
GTC,6.9500,0.0600,0.87%,4,12961,6.9000,6.9500,6.9000,02.02 13:36
GTCA,6.9500,0.0000,0.00%,1,166800,6.9500,6.9500,6.9500,18.01 10:16
HANDLOWY,67.5000,3.5000,5.47%,898,6138649,64.2000,67.6000,64.0000,02.02 16:42
HARPER,7.3000,0.0800,1.11%,34,21578,7.2200,7.3000,6.9400,02.02 16:39
HELIO,16.1000,0.6000,3.87%,6,9427,16.9000,16.9000,15.6000,02.02 16:21
HERKULES,1.7000,0.0700,4.29%,17,12288,1.6300,1.7000,1.5700,02.02 14:06
HMINWEST,22.9000,0.0000,0.00%,4,2565,22.9000,22.9000,22.9000,02.02 13:05
HUUUGE-S144,21.8800,-0.2200,-1.00%,204,723885,22.1000,22.5000,21.8800,02.02 16:42
HYDROTOR,36.6000,-0.4000,-1.08%,9,3900,37.0000,37.0000,36.5000,02.02 14:25
I2DEV,11.5000,0.0000,0.00%,5,115,11.5000,11.5000,11.5000,02.02 09:00
IBSM,19.0000,0.0000,0.00%,1,209,19.0000,19.0000,19.0000,19.01 11:26
IDEABANK,1.5880,0.0180,1.15%,160,240390,1.5980,1.6400,1.5700,30.12 17:00
IDMSA,1.1500,0.0000,0.00%,1,192,1.1500,1.1500,1.1500,02.02 14:37
IFCAPITAL,4.1400,-4.5400,-52.30%,383,793162,6.9800,6.9800,4.1400,10.11 15:49
IFIRMA,21.5000,0.0000,0.00%,53,258622,21.5000,22.0000,21.4000,02.02 16:29
IFSA,0.4300,-0.0180,-4.02%,131,123804,0.4240,0.4660,0.4040,21.01 17:00
IIAAV,105.1000,1.0000,0.96%,1,105,105.1000,105.1000,105.1000,31.01 14:27
IMCOMPANY,26.7000,0.6000,2.30%,25,81223,27.3000,27.3000,26.4000,02.02 16:35
IMMOBILE,2.3200,0.0400,1.75%,5,77,2.3200,2.3200,2.3200,02.02 15:59
IMPEL,13.0000,0.0500,0.39%,6,196321,13.0500,13.0500,13.0000,03.03 13:46
IMPERIO,2.3100,-0.0900,-3.75%,3,35,2.3100,2.3100,2.3100,02.02 11:26
IMS,3.0000,0.0100,0.33%,3,516,2.9900,3.0000,2.9900,02.02 14:25
INC,4.1550,0.0700,1.71%,65,48954,4.0900,4.1750,4.0750,02.02 16:39
INGBSK,276.0000,4.5000,1.66%,172,3568610,273.0000,276.5000,269.0000,02.02 16:38
INPRO,7.4500,0.0000,0.00%,1,75,7.4500,7.4500,7.4500,02.02 09:04
INSTALKRK,34.0000,-0.5000,-1.45%,25,29252,34.8000,34.8000,33.5000,02.02 15:43
INTERAOLT,17.7200,-0.0800,-0.45%,60,158081,17.7000,18.6000,17.6000,02.02 15:53
INTERBUD,1.2800,0.0300,2.40%,4,768,1.2800,1.2800,1.2800,02.02 15:00
INTERCARS,460.0000,10.0000,2.22%,209,1163536,452.0000,466.0000,452.0000,02.02 16:41
INTERFERI,8.6000,0.0000,0.00%,7,72808,8.6000,8.6000,8.6000,02.02 12:42
INTERSPPL,1.1900,0.0200,1.71%,5,1550,1.1750,1.1900,1.1750,02.02 15:05
INTROL,5.5000,-0.0400,-0.72%,41,53295,5.5400,5.5400,5.3000,02.02 16:20
INVISTA,6.2500,0.0000,0.00%,11,5746,6.2000,6.2500,5.7500,02.02 16:41
IPOPEMA,3.2300,0.1000,3.19%,5,4353,3.1300,3.2300,3.1300,02.02 15:36
ITMTRADE,0.1700,-0.0150,-8.11%,10,4061,0.1740,0.1740,0.1700,02.02 15:00
IZOBLOK,48.9000,-1.9000,-3.74%,2,972,48.6000,48.9000,48.6000,02.02 12:17
IZOLACJA,2.7600,0.0200,0.73%,6,232,2.7600,2.7600,2.7600,02.02 09:07
IZOSTAL,2.7200,-0.0100,-0.37%,60,84966,2.7500,2.8000,2.7200,02.02 16:35
JWCONSTR,4.1600,-0.0200,-0.48%,24,32433,4.1700,4.1700,3.9600,20.05 16:16
JWWINVEST,2.0600,0.0200,0.98%,1,229,2.0600,2.0600,2.0600,02.02 09:00
K2HOLDING,22.6000,-0.1000,-0.44%,7,9703,22.7000,22.7000,22.0000,02.02 16:32
KBDOM,0.2700,0.0000,0.00%,2,810,0.2700,0.2700,0.2700,30.11 15:00
KCI,1.1200,0.0350,3.23%,90,169923,1.0600,1.1650,1.0600,02.02 16:39
KERNEL,53.4000,0.1000,0.19%,413,2274708,53.3000,53.5000,52.3000,02.02 16:33
KETY,616.0000,10.0000,1.65%,364,2551120,610.0000,622.0000,607.0000,02.02 16:41
KGHM,144.9000,2.1500,1.51%,6593,82405344,143.8000,146.9500,142.4500,02.02 16:42
KGL,12.4500,0.0500,0.40%,12,11930,12.4000,12.7500,12.4000,02.02 13:28
KINOPOL,15.9500,0.1500,0.95%,30,52760,15.8000,15.9500,15.5000,02.02 15:24
KOGENERA,27.4000,0.8000,3.01%,29,42242,26.6000,27.4000,26.6000,02.02 16:31
KOMPAP,19.2000,-0.6000,-3.03%,3,9934,19.0000,19.5000,19.0000,02.02 10:06
KOMPUTRON,3.3100,0.1600,5.08%,38,55837,3.2900,3.4600,3.2900,02.02 16:12
KPPD,63.5000,0.0000,0.00%,1,2159,63.5000,63.5000,63.5000,02.02 13:53
KRAKCHEM,0.6000,0.0000,0.00%,2,1670,0.5600,0.6000,0.5600,28.01 15:00
KREC,18.4000,-0.2000,-1.08%,27,149721,18.7000,18.8000,18.1000,02.02 15:08
KREDYTIN,17.4000,0.0000,0.00%,5,87,17.4000,17.4000,17.4000,02.02 09:07
KRKA,528.0000,4.0000,0.76%,5,11022,524.0000,528.0000,522.0000,02.02 15:46
KRUK,325.0000,4.2000,1.31%,2109,12396624,321.2000,332.8000,321.2000,02.02 16:42
KRUSZWICA,66.0000,0.2000,0.30%,1,132,66.0000,66.0000,66.0000,26.02 16:11
KRVITAMIN,13.8600,0.0000,0.00%,25,73520,13.8600,14.3200,13.7600,02.02 15:32
KSGAGRO,3.1900,0.0100,0.31%,20,35506,3.1800,3.2000,3.1200,02.02 16:30
LABOPRINT,15.0000,0.3000,2.04%,6,150,15.0000,15.0000,15.0000,02.02 15:59
LARQ,1.5400,0.0400,2.67%,16,36139,1.5500,1.5500,1.4000,02.02 16:38
LENA,4.4100,0.0100,0.23%,5,5833,4.4000,4.4100,4.3500,02.02 12:07
LENTEX,9.5000,0.1400,1.50%,34,70648,9.3600,9.7000,9.2400,02.02 16:40
LIBET,1.8000,-0.0100,-0.55%,5,729,1.7350,1.8050,1.7350,02.02 15:08
LIVECHAT,109.2000,-0.8000,-0.73%,244,1980607,110.8000,110.8000,108.6000,02.02 16:41
LOKUM,21.0000,1.5000,7.69%,1,21,21.0000,21.0000,21.0000,02.02 11:54
LOTOS,55.1600,0.5400,0.99%,2496,12099569,55.0000,56.2800,54.3000,02.02 16:42
LPP,15790.0000,160.0000,1.02%,761,19330570,15750.0000,15980.0000,15520.0000,02.02 16:41
LSISOFT,14.2500,0.3000,2.15%,4,6940,14.2500,14.2500,14.2500,02.02 09:31
LUBAWA,1.1420,-0.0200,-1.72%,67,83366,1.1640,1.1640,1.1400,02.02 16:17
MABION,45.3500,-2.4500,-5.13%,1432,5861933,47.7500,48.2500,45.3500,02.02 16:42
MAKARONPL,6.8600,-0.1000,-1.44%,4,1532,6.9600,6.9600,6.8600,02.02 16:38
MANGATA,73.0000,-0.8000,-1.08%,7,23030,74.2000,74.4000,73.0000,02.02 16:39
MANYDEV,1.6900,-0.0100,-0.59%,8,3572,1.7400,1.7500,1.6900,02.02 16:42
MARVIPOL,8.0000,-0.0800,-0.99%,18,25402,8.0800,8.1000,7.9400,02.02 16:22
MASTERPHA,4.9500,0.0500,1.02%,8,10197,4.9500,4.9500,4.9500,02.02 15:00
MAXCOM,11.9000,0.2000,1.71%,17,13976,11.7000,12.3500,11.7000,02.02 15:42
MBANK,488.0000,-1.8000,-0.37%,799,6021370,493.0000,494.6000,472.6000,02.02 16:42
MBWS,6.7200,0.0200,0.30%,2,134,6.7000,6.7200,6.7000,02.02 16:28
MCI,20.8000,-0.2000,-0.95%,16,40158,20.5000,20.8000,20.5000,02.02 14:27
MDIENERGIA,2.4100,0.0700,2.99%,5,33,2.3400,2.4100,2.3400,02.02 13:34
MEDIACAP,3.4900,0.0000,0.00%,1,21,3.4900,3.4900,3.4900,29.12 09:19
MEDICALG,17.5600,0.2000,1.15%,31,26837,17.3600,17.7800,17.3000,02.02 16:09
MEDINICE,17.9000,-0.3000,-1.65%,15,11025,17.8500,18.0000,17.8000,02.02 15:45
MEGARON,12.5000,0.1000,0.81%,1,1288,12.5000,12.5000,12.5000,26.01 11:00
MENNICA,20.1000,0.1000,0.50%,10,15448,20.0000,20.1000,19.9000,02.02 16:22
MERCOR,14.5000,-0.2000,-1.36%,40,75188,14.8500,15.3000,14.5000,02.02 16:37
MEXPOLSKA,2.2000,-0.0400,-1.79%,10,16573,2.2400,2.2400,2.1900,02.02 13:05
MFO,51.0000,1.0000,2.00%,12,62365,50.2000,51.2000,50.2000,02.02 16:42
MILKILAND,1.4200,-0.0500,-3.40%,75,99904,1.4250,1.4500,1.3950,02.02 16:35
MILLENNIUM,8.6200,0.0200,0.23%,389,3540176,8.6000,8.7900,8.5600,02.02 16:39
MIRACULUM,1.4600,-0.0200,-1.35%,3,5075,1.4900,1.4900,1.4600,02.02 12:49
MIRBUD,4.2650,0.1600,3.90%,379,1196097,4.1850,4.3450,4.1600,02.02 16:32
MLPGROUP,72.6000,0.0000,0.00%,5,3194,72.6000,72.6000,72.6000,02.02 14:19
MLPGROUP-PDA,78.5000,1.5000,1.95%,2,39250,78.5000,78.5000,78.5000,25.11 10:22
MLSYSTEM,76.3000,5.6000,7.92%,435,1399575,71.6000,76.6000,70.2000,02.02 16:42
MOBRUK,404.0000,11.0000,2.80%,168,3087468,390.0000,405.0000,390.0000,02.02 16:41
MOJ,1.7800,0.0300,1.71%,7,13619,1.7400,1.7800,1.6500,02.02 16:28
MOL,34.7200,0.0200,0.06%,8,25203,34.4200,34.9800,34.2800,02.02 16:05
MONNARI,2.9500,0.1000,3.51%,147,1102602,2.8500,3.1200,2.8200,02.02 16:39
MOSTALPLC,23.7000,0.2000,0.85%,31,19638,24.0000,24.5000,23.5000,02.02 16:41
MOSTALWAR,6.4000,-0.0400,-0.62%,10,10470,6.4400,6.5000,6.3000,02.02 12:18
MOSTALZAB,1.7000,0.0000,0.00%,50,73259,1.7150,1.7200,1.6800,02.02 16:37
MUZA,5.7500,0.0500,0.88%,8,6091,5.7500,5.8000,5.7000,02.02 15:44
MWTRADE,4.9700,0.0000,0.00%,3,8747,4.9800,4.9800,4.9700,02.02 12:29
NANOGROUP,3.8400,0.0400,1.05%,7,7048,3.8000,3.8400,3.7900,02.02 13:02
NETIA,6.9400,0.0000,0.00%,2,6975,6.9400,6.9400,6.9400,29.07 12:41
NEUCA,788.0000,13.0000,1.68%,217,3958240,783.0000,794.0000,777.0000,02.02 16:27
NEWAG,19.5000,0.1500,0.78%,19,20353,19.7000,19.7000,19.3500,02.02 14:25
NEXITY,3.1700,-0.1100,-3.35%,9,4622,3.2800,3.3300,3.1700,02.02 16:00
NORTCOAST,14.9500,0.0000,0.00%,16,65975,14.9500,15.0000,14.8500,29.09 16:35
NOVAVISGR,1.0050,0.0000,0.00%,6,113,1.0350,1.0350,1.0050,02.02 15:08
NOVITA,163.0000,0.0000,0.00%,6,8707,160.0000,163.0000,160.0000,02.02 13:50
NOWAGALA,0.9900,0.0200,2.06%,1,119,0.9900,0.9900,0.9900,14.12 10:03
NTTSYSTEM,4.9500,0.1200,2.48%,17,43969,4.8500,4.9500,4.7800,02.02 16:22
OAT,37.7500,0.3000,0.80%,73,209524,36.6500,38.0000,36.6500,02.02 16:20
ODLEWNIE,5.8600,0.1600,2.81%,9,13056,5.7600,5.8600,5.7600,02.02 13:59
OEX,31.4000,0.4000,1.29%,3,5652,31.4000,31.4000,31.4000,02.02 13:15
ONDE,18.4300,-0.1700,-0.91%,271,531659,18.7000,18.8000,18.2000,02.02 16:42
ONDE-PDA,26.9500,0.3500,1.32%,51,110034,26.6000,26.9500,26.5000,30.08 17:03
OPENFIN,0.2480,0.0010,0.40%,4,86,0.2480,0.2480,0.2480,02.02 16:36
OPONEO.PL,53.8000,0.8000,1.51%,33,121143,53.8000,54.6000,53.8000,02.02 16:24
OPTEAM,13.7500,0.3000,2.23%,11,4948,13.5000,13.9000,13.5000,02.02 16:09
